"hgnc_symbol","ensembl_gene_id","ensembl_transcript_id","chromosome_name","percentage_gc_content","entrezgene","hgnc_symbol","hgnc_transcript_name","strand","band","transcript_length"
"HIST1H3G","ENSG00000256018","ENST00000305910","6",0.591,8968,"HIST1H3G","HIST1H3G-001",-1,"p22.2",467
"HIST1H3H","ENSG00000203813","ENST00000369163","6",0.6173,8968,"HIST1H3H","HIST1H3H-001",1,"p22.1",473
"HIST1H3I","ENSG00000182572","ENST00000328488","6",0.6059,8968,"HIST1H3I","HIST1H3I-001",-1,"p22.1",477
"HIST1H3J","ENSG00000197153","ENST00000479986","6",0.4875,8968,"HIST1H3J","HIST1H3J-002",-1,"p22.1",522
"HIST1H4A","ENSG00000196176","ENST00000359907","6",0.5941,554313,"HIST1H4A","HIST1H4A-001",1,"p22.2",372
"HIST1H4B","ENSG00000124529","ENST00000377364","6",0.5574,554313,"HIST1H4B","HIST1H4B-001",-1,"p22.2",357
"HIST1H4C","ENSG00000197061","ENST00000377803","6",0.5157,554313,"HIST1H4C","HIST1H4C-001",1,"p22.2",415
"HIST1H4D","ENSG00000188987","ENST00000340756","6",0.5668,554313,"HIST1H4D","HIST1H4D-001",-1,"p22.2",367
"HIST1H4E","ENSG00000198518","ENST00000360441","6",0.4613,554313,"HIST1H4E","HIST1H4E-001",1,"p22.2",1409
"HIST1H4F","ENSG00000198327","ENST00000377745","6",0.5385,554313,"HIST1H4F","HIST1H4F-001",1,"p22.2",416
"HIST1H4G","ENSG00000124578","ENST00000244537","6",0.5561,8369,"HIST1H4G","HIST1H4G-001",-1,"p22.2",374
"HIST1H4H","ENSG00000158406","ENST00000289352","6",0.4328,554313,"HIST1H4H","HIST1H4H-201",-1,"p22.2",1034
"HIST1H4I","ENSG00000198339","ENST00000354348","6",0.4594,554313,"HIST1H4I","HIST1H4I-001",1,"p22.1",1343
"HIST1H4J","ENSG00000197238","ENST00000355057","6",0.623,554313,"HIST1H4J","HIST1H4J-001",1,"p22.1",374
"HIST1H4K","ENSG00000197914","ENST00000357549","6",0.6271,554313,"HIST1H4K","HIST1H4K-001",-1,"p22.1",354
"HIST1H4L","ENSG00000198558","ENST00000355981","6",0.5797,554313,"HIST1H4L","HIST1H4L-001",-1,"p22.1",364
"HIST2H2AA3","ENSG00000183558","ENST00000369161","1",0.6088,723790,"HIST2H2AA3","HIST2H2AA3-001",-1,"q21.2",974
"HIST2H2AA4","ENSG00000203812","ENST00000369159","1",0.6175,723790,"HIST2H2AA4","HIST2H2AA4-001",1,"q21.2",549
"HIST2H2AB","ENSG00000184270","ENST00000331128","1",0.6071,317772,"HIST2H2AB","HIST2H2AB-001",-1,"q21.2",448
"HIST2H2AC","ENSG00000184260","ENST00000331380","1",0.6087,8338,"HIST2H2AC","HIST2H2AC-001",1,"q21.2",437
"HIST2H2BA","ENSG00000223345","ENST00000430394","1",0.4117,337875,"HIST2H2BA","HIST2H2BA-002",1,"p11.2",752
"HIST2H2BC","ENSG00000203819","ENST00000498492","1",0.6,337873,"HIST2H2BC","HIST2H2BC-001",-1,"q21.2",580
"HIST2H2BE","ENSG00000184678","ENST00000369155","1",0.4795,8349,"HIST2H2BE","HIST2H2BE-001",-1,"q21.2",2223
"HIST2H2BF","ENSG00000203814","ENST00000427880","1",0.419,440689,"HIST2H2BF","HIST2H2BF-201",-1,"q21.2",1047
"HIST2H3A","ENSG00000203852","ENST00000403683","1",0.6123,653604,"HIST2H3A","HIST2H3A-001",1,"q21.2",1656
"HIST2H3C","ENSG00000203811","ENST00000369158","1",0.6123,653604,"HIST2H3C","HIST2H3C-001",-1,"q21.2",1656
"HIST2H3D","ENSG00000183598","ENST00000331491","1",0.674,653604,"HIST2H3D","HIST2H3D-001",-1,"q21.2",411
"HIST2H4A","ENSG00000183941","ENST00000392939","1",0.4689,554313,"HIST2H4A","HIST2H4A-003",1,"q21.2",1696
"HIST2H4B","ENSG00000182217","ENST00000392932","1",0.4689,554313,"HIST2H4B","HIST2H4B-003",-1,"q21.2",1696
"HIST3H2A","ENSG00000181218","ENST00000366695","1",0.6573,92815,"HIST3H2A","HIST3H2A-001",-1,"q42.13",496
"HIST3H2BB","ENSG00000196890","ENST00000369160","1",0.6018,128312,"HIST3H2BB","HIST3H2BB-001",1,"q42.13",452
"HIST3H3","ENSG00000168148","ENST00000366696","1",0.6341,8290,"HIST3H3","HIST3H3-001",-1,"q42.13",481
"HIST4H4","ENSG00000197837","ENST00000358064","12",0.4957,554313,"HIST4H4","HIST4H4-001",-1,"p12.3",1918
"HIVEP1","ENSG00000095951","ENST00000379388","6",0.3937,3096,"HIVEP1","HIVEP1-001",1,"p24.1",9027
"HIVEP2","ENSG00000010818","ENST00000367603","6",0.3832,3097,"HIVEP2","HIVEP2-201",-1,"q24.2",9723
"HIVEP3","ENSG00000127124","ENST00000372584","1",0.4645,59269,"HIVEP3","HIVEP3-001",-1,"p34.2",12319
"HJURP","ENSG00000123485","ENST00000411486","2",0.4825,55355,"HJURP","HJURP-001",-1,"q37.1",3187
"HK1","ENSG00000156515","ENST00000448642","10",0.4764,3098,"HK1","HK1-204",1,"q22.1",3992
"HK2","ENSG00000159399","ENST00000290573","2",0.4762,3099,"HK2","HK2-001",1,"p12",5772
"HK3","ENSG00000160883","ENST00000292432","5",0.5428,3101,"HK3","HK3-001",-1,"q35.2",3066
"HKDC1","ENSG00000156510","ENST00000354624","10",0.4796,80201,"HKDC1","HKDC1-001",1,"q22.1",3689
"HKR1","ENSG00000181666","ENST00000591471","19",0.4382,100507342,"HKR1","HKR1-007",1,"q13.12",3472
"HLA-A","ENSG00000206505","ENST00000383605","HSCHR6_MHC_QBL",0.5529,3105,"HLA-A","HLA-A-001",1,"p22.1",1868
"HLA-B","ENSG00000223532","ENST00000425848","HSCHR6_MHC_COX",0.5915,3106,"HLA-B","HLA-B-001",-1,"p21.33",1605
"HLA-C","ENSG00000233841","ENST00000496419","HSCHR6_MHC_COX",0.5928,3107,"HLA-C","HLA-C-005",-1,"p21.33",1880
"HLA-DMA","ENSG00000242685","ENST00000472934","HSCHR6_MHC_QBL",0.4482,3108,"HLA-DMA","HLA-DMA-003",-1,"p21.32",1738
"HLA-DMB","ENSG00000241674","ENST00000463532","HSCHR6_MHC_QBL",0.4503,3109,"HLA-DMB","HLA-DMB-003",-1,"p21.32",4569
"HLA-DOA","ENSG00000230141","ENST00000438987","HSCHR6_MHC_MCF",0.5253,3111,"HLA-DOA","HLA-DOA-001",-1,"p21.32",3489
"HLA-DOB","ENSG00000243496","ENST00000469995","HSCHR6_MHC_DBB",0.4501,3112,"HLA-DOB","HLA-DOB-002",-1,"p21.32",1514
"HLA-DPA1","ENSG00000168384","ENST00000480689","HSCHR6_MHC_MCF",0.4272,3113,"HLA-DPA1","HLA-DPA1-003",-1,"p21.32",5025
"HLA-DPB1","ENSG00000230763","ENST00000425130","HSCHR6_MHC_MCF",0.4805,3115,"HLA-DPB1","HLA-DPB1-001",1,"p21.32",1560
"HLA-DPB2","ENSG00000224557","ENST00000435499","6",0.4523,3116,"HLA-DPB2","HLA-DPB2-201",1,"p21.32",1617
"HLA-DQA1","ENSG00000225890","ENST00000476192","HSCHR6_MHC_MANN",0.4146,100509457,"HLA-DQA1","HLA-DQA1-003",1,"p21.32",9013
"HLA-DQA2","ENSG00000204276","ENST00000443184","HSCHR6_MHC_COX",0.4269,3118,"HLA-DQA2","HLA-DQA2-001",1,"p21.32",1725
"HLA-DQB1","ENSG00000225824","ENST00000475182","HSCHR6_MHC_MANN",0.4564,101060835,"HLA-DQB1","HLA-DQB1-005",-1,"p21.32",4986
"HLA-DQB2","ENSG00000196610","ENST00000323109","HSCHR6_MHC_QBL",0.4742,3120,"HLA-DQB2","HLA-DQB2-001",-1,"p21.32",2028
"HLA-DRA","ENSG00000206308","ENST00000383259","HSCHR6_MHC_QBL",0.4299,3122,"HLA-DRA","HLA-DRA-001",1,"p21.32",1280
"HLA-DRB1","ENSG00000229074","ENST00000437784","HSCHR6_MHC_MANN",0.4068,100996809,"HLA-DRB1","HLA-DRB1-001",-1,"p21.32",1235
"HLA-DRB3","ENSG00000196101","ENST00000307137","HSCHR6_MHC_QBL",0.4299,3125,"HLA-DRB3","HLA-DRB3-001",-1,"p21.32",1178
"HLA-DRB4","ENSG00000227357","ENST00000411565","HSCHR6_MHC_SSTO",0.4212,3126,"HLA-DRB4","HLA-DRB4-001",-1,"p21.32",1184
"HLA-DRB5","ENSG00000198502","ENST00000374975","6",0.4284,3127,"HLA-DRB5","HLA-DRB5-001",-1,"p21.32",1260
"HLA-DRB6","ENSG00000229391","ENST00000411500","6",0.441,3128,"HLA-DRB6","HLA-DRB6-002",-1,"p21.32",1235
"HLA-E","ENSG00000229252","ENST00000415289","HSCHR6_MHC_DBB",0.5545,3133,"HLA-E","HLA-E-001",1,"p21.33",2601
"HLA-F","ENSG00000204642","ENST00000440587","6",0.4502,3134,"HLA-F","HLA-F-204",1,"p22.1",1622
"HLA-F-AS1","ENSG00000214922","ENST00000458236","6",0.4594,285830,"HLA-F-AS1","HLA-F-AS1-002",-1,"p22.1",2835
"HLA-G","ENSG00000206506","ENST00000553052","HSCHR6_MHC_QBL",0.5626,3135,"HLA-G","HLA-G-202",1,"p22.1",1592
"HLA-H","ENSG00000206341","ENST00000383326","6",0.6034,NA,"HLA-H","HLA-H-201",1,"p22.1",1366
"HLA-J","ENSG00000223439","ENST00000486526","HSCHR6_MHC_MANN",0.5774,3137,"HLA-J","HLA-J-003",1,"p22.1",1306
"HLA-L","ENSG00000239618","ENST00000491405","HSCHR6_MHC_MANN",0.4117,3139,"HLA-L","HLA-L-002",1,"p22.1",4588
"HLCS","ENSG00000159267","ENST00000399120","21",0.4435,3141,"HLCS","HLCS-002",-1,"q22.13",6466
"HLF","ENSG00000108924","ENST00000226067","17",0.433,3131,"HLF","HLF-001",1,"q22",5547
"HLTF","ENSG00000071794","ENST00000310053","3",0.3595,6596,"HLTF","HLTF-003",-1,"q24",5317
"HLX","ENSG00000136630","ENST00000366903","1",0.5511,3142,"HLX","HLX-001",1,"q41",3323
"HM13","ENSG00000101294","ENST00000498035","20",0.4935,81502,"HM13","HM13-013",1,"q11.21",1992
"HMBOX1","ENSG00000147421","ENST00000397358","8",0.3772,79618,"HMBOX1","HMBOX1-001",1,"p21.1",4082
"HMBS","ENSG00000256269","ENST00000546226","11",0.5091,3145,"HMBS","HMBS-020",1,"q23.3",2112
"HMCN1","ENSG00000143341","ENST00000271588","1",0.3597,83872,"HMCN1","HMCN1-001",1,"q25.3",18208
"HMG20A","ENSG00000140382","ENST00000381714","15",0.3822,10363,"HMG20A","HMG20A-002",1,"q24.3",4112
"HMG20B","ENSG00000064961","ENST00000488973","19",0.6534,10362,"HMG20B","HMG20B-002",1,"p13.3",2434
"HMGA1","ENSG00000137309","ENST00000447654","6",0.5783,3159,"HMGA1","HMGA1-203",1,"p21.31",2159
"HMGA1P7","ENSG00000216753","ENST00000406908","6",0.6195,387065,"HMGA1P7","HMGA1P7-001",-1,"q23.2",502
"HMGA2","ENSG00000149948","ENST00000541363","12",0.3925,8091,"HMGA2","HMGA2-011",1,"q14.3",8094
"HMGB1","ENSG00000189403","ENST00000405805","13",0.4199,3146,"HMGB1","HMGB1-012",-1,"q12.3",4199
"HMGB2","ENSG00000164104","ENST00000296503","4",0.5022,3148,"HMGB2","HMGB2-001",-1,"q34.1",1889
"HMGB3","ENSG00000029993","ENST00000325307","X",0.5116,3149,"HMGB3","HMGB3-001",1,"q28",3560
"HMGB3P1","ENSG00000225336","ENST00000393368","20",0.4752,NA,"HMGB3P1","HMGB3P1-001",-1,"q11.22",573
"HMGB4","ENSG00000176256","ENST00000522796","1",0.4543,127540,"HMGB4","HMGB4-004",1,"p35.1",2505
"HMGCL","ENSG00000117305","ENST00000374487","1",0.4684,3155,"HMGCL","HMGCL-001",-1,"p36.11",2151
"HMGCLL1","ENSG00000146151","ENST00000398661","6",0.3437,54511,"HMGCLL1","HMGCLL1-004",-1,"p12.1",2532
"HMGCR","ENSG00000113161","ENST00000287936","5",0.3788,3156,"HMGCR","HMGCR-001",1,"q13.3",4585
"HMGCS1","ENSG00000112972","ENST00000325110","5",0.3881,3157,"HMGCS1","HMGCS1-001",-1,"p12",3506
"HMGCS2","ENSG00000134240","ENST00000369406","1",0.4186,3158,"HMGCS2","HMGCS2-001",-1,"p12",2428
"HMGN1","ENSG00000205581","ENST00000486741","21",0.4226,101927733,"HMGN1","HMGN1-006",-1,"q22.2",4299
"HMGN2","ENSG00000198830","ENST00000493418","1",0.4834,3151,"HMGN2","HMGN2-008",1,"p36.11",1496
"HMGN2P46","ENSG00000179362","ENST00000409454","15",0.4347,283651,"HMGN2P46","HMGN2P46-002",1,"q21.1",1923
"HMGN3","ENSG00000118418","ENST00000344726","6",0.3856,9324,"HMGN3","HMGN3-001",-1,"q14.1",872
"HMGN4","ENSG00000182952","ENST00000377575","6",0.4228,10473,"HMGN4","HMGN4-001",1,"p22.2",1225
"HMGN5","ENSG00000198157","ENST00000358130","X",0.3642,79366,"HMGN5","HMGN5-001",-1,"q21.1",2126
"HMGXB3","ENSG00000113716","ENST00000503427","5",0.4338,22993,"HMGXB3","HMGXB3-002",1,"q32",5275
"HMGXB4","ENSG00000100281","ENST00000418170","22",0.4149,10042,"HMGXB4","HMGXB4-001",1,"q12.3",4216
"HMHA1","ENSG00000180448","ENST00000313093","19",0.6163,23526,"HMHA1","HMHA1-002",1,"p13.3",4264
"HMHB1","ENSG00000158497","ENST00000289448","5",0.4002,57824,"HMHB1","HMHB1-001",1,"q31.3",384
"HMMR","ENSG00000072571","ENST00000393915","5",0.3698,3161,"HMMR","HMMR-001",1,"q34",3098
"HMOX1","ENSG00000100292","ENST00000216117","22",0.5111,3162,"HMOX1","HMOX1-001",1,"q12.3",1822
"HMOX2","ENSG00000103415","ENST00000570646","16",0.4762,3163,"HMOX2","HMOX2-001",1,"p13.3",2147
"HMSD","ENSG00000221887","ENST00000481726","18",0.4151,284293,"HMSD","HMSD-002",1,"q22.1",682
"HMX1","ENSG00000215612","ENST00000400677","4",0.5936,3166,"HMX1","HMX1-001",-1,"p16.1",1893
"HMX2","ENSG00000188816","ENST00000339992","10",0.6009,3167,"HMX2","HMX2-001",1,"q26.13",1628
"HMX3","ENSG00000188620","ENST00000357878","10",0.6938,340784,"HMX3","HMX3-001",1,"q26.13",1173
"HN1","ENSG00000189159","ENST00000476258","17",0.4627,51155,"HN1","HN1-005",-1,"q25.1",2289
"HN1L","ENSG00000206053","ENST00000248098","16",0.4778,90861,"HN1L","HN1L-001",1,"p13.3",3718
"HNF1A","ENSG00000135100","ENST00000257555","12",0.522,6927,"HNF1A","HNF1A-001",1,"q24.31",3442
"HNF1A-AS1","ENSG00000241388","ENST00000537361","12",0.4996,NA,"HNF1A-AS1","HNF1A-AS1-002",-1,"q24.31",659
"HNF1B","ENSG00000108753","ENST00000459669","17",0.481,6928,"HNF1B","HNF1B-002",-1,"q12",3481
"HNF4A","ENSG00000101076","ENST00000316099","20",0.4823,3172,"HNF4A","HNF4A-002",1,"q13.12",4694
"HNF4G","ENSG00000164749","ENST00000396423","8",0.355,3174,"HNF4G","HNF4G-001",1,"q21.11",4209
"HNMT","ENSG00000150540","ENST00000280097","2",0.3683,3176,"HNMT","HNMT-001",1,"q22.1",3291
"HNRNPA0","ENSG00000177733","ENST00000314940","5",0.4857,10949,"HNRNPA0","HNRNPA0-001",-1,"q31.2",2965
"HNRNPA1","ENSG00000135486","ENST00000546500","12",0.4213,3178,"HNRNPA1","HNRNPA1-001",1,"q13.13",4121
"HNRNPA1L2","ENSG00000139675","ENST00000342657","13",0.3903,144983,"HNRNPA1L2","HNRNPA1L2-201",1,"q14.3",2365
"HNRNPA1P10","ENSG00000214223","ENST00000444945","19",0.4751,NA,"HNRNPA1P10","HNRNPA1P10-001",-1,"p13.2",962
"HNRNPA2B1","ENSG00000122566","ENST00000463181","7",0.4007,3181,"HNRNPA2B1","HNRNPA2B1-003",-1,"p15.2",6284
"HNRNPA3","ENSG00000170144","ENST00000411529","2",0.4,220988,"HNRNPA3","HNRNPA3-002",1,"q31.2",5688
"HNRNPA3P1","ENSG00000226790","ENST00000423264","10",0.3896,10151,"HNRNPA3P1","HNRNPA3P1-201",-1,"q11.21",3006
"HNRNPAB","ENSG00000197451","ENST00000358344","5",0.5364,3182,"HNRNPAB","HNRNPAB-001",1,"q35.3",1796
"HNRNPC","ENSG00000092199","ENST00000430246","14",0.3978,3183,"HNRNPC","HNRNPC-015",-1,"q11.2",4501
"HNRNPCL1","ENSG00000179172","ENST00000317869","1",0.4613,101060301,"HNRNPCL1","HNRNPCL1-001",-1,"p36.21",1108
"HNRNPD","ENSG00000138668","ENST00000514325","4",0.3875,3184,"HNRNPD","HNRNPD-006",-1,"q21.22",4597
"HNRNPF","ENSG00000169813","ENST00000443950","10",0.4766,3185,"HNRNPF","HNRNPF-201",-1,"q11.21",2755
"HNRNPH1","ENSG00000169045","ENST00000515481","5",0.4597,3187,"HNRNPH1","HNRNPH1-010",-1,"q35.3",5564
"HNRNPH2","ENSG00000126945","ENST00000316594","X",0.3949,100529097,"HNRNPH2","HNRNPH2-001",1,"q22.1",2223
"HNRNPH3","ENSG00000096746","ENST00000469172","10",0.3982,3189,"HNRNPH3","HNRNPH3-004",1,"q21.3",3356
"HNRNPK","ENSG00000165119","ENST00000376263","9",0.3921,3190,"HNRNPK","HNRNPK-201",-1,"q21.32",2942
"HNRNPKP3","ENSG00000251557","ENST00000511537","11",0.405,399881,"HNRNPKP3","HNRNPKP3-003",-1,"p12",1882
"HNRNPL","ENSG00000104824","ENST00000597731","19",0.5373,3191,"HNRNPL","HNRNPL-007",-1,"q13.2",3094
"HNRNPM","ENSG00000099783","ENST00000348943","19",0.4668,4670,"HNRNPM","HNRNPM-001",1,"p13.2",2568
"HNRNPR","ENSG00000125944","ENST00000478691","1",0.3885,10236,"HNRNPR","HNRNPR-004",-1,"p36.12",7646
"HNRNPU","ENSG00000153187","ENST00000444376","1",0.4052,3192,"HNRNPU","HNRNPU-001",-1,"q44",5940
"HNRNPU-AS1","ENSG00000188206","ENST00000366527","1",0.3572,284702,"HNRNPU-AS1","HNRNPU-AS1-001",-1,"q44",5007
"HNRNPUL1","ENSG00000105323","ENST00000392006","19",0.4803,11100,"HNRNPUL1","HNRNPUL1-003",1,"q13.2",3555
"HNRNPUL2","ENSG00000214753","ENST00000301785","11",0.4607,221092,"HNRNPUL2","HNRNPUL2-001",-1,"q12.3",5106
"HNRNPUL2-BSCL2","ENSG00000234857","ENST00000403734","11",0.4892,NA,"HNRNPUL2-BSCL2","HNRNPUL2-BSCL2-001",-1,"q12.3",4001
"HOGA1","ENSG00000241935","ENST00000465608","10",0.4867,112817,"HOGA1","HOGA1-002",1,"q24.2",2581
"HOMER1","ENSG00000152413","ENST00000334082","5",0.3723,9456,"HOMER1","HOMER1-001",-1,"q14.1",5881
"HOMER2","ENSG00000103942","ENST00000558090","15",0.4543,9455,"HOMER2","HOMER2-005",-1,"q25.2",6201
"HOMER3","ENSG00000051128","ENST00000539827","19",0.5677,9454,"HOMER3","HOMER3-004",-1,"p13.11",1979
"HOMEZ","ENSG00000215271","ENST00000357460","14",0.4545,57594,"HOMEZ","HOMEZ-001",-1,"q11.2",4936
"HOOK1","ENSG00000134709","ENST00000371208","1",0.3437,51361,"HOOK1","HOOK1-001",1,"p32.1",5857
"HOOK2","ENSG00000095066","ENST00000264827","19",0.5364,29911,"HOOK2","HOOK2-001",-1,"p13.2",2603
"HOOK3","ENSG00000168172","ENST00000307602","8",0.4046,84376,"HOOK3","HOOK3-001",1,"p11.21",14398
"HOPX","ENSG00000171476","ENST00000503864","4",0.4294,84525,"HOPX","HOPX-020",-1,"q12",3203
"HORMAD1","ENSG00000143452","ENST00000368993","1",0.3671,84072,"HORMAD1","HORMAD1-201",-1,"q21.3",1879
"HORMAD2","ENSG00000176635","ENST00000336726","22",0.3765,150280,"HORMAD2","HORMAD2-002",1,"q12.2",2187
"HOTAIR","ENSG00000228630","ENST00000424518","12",0.5162,100124700,"HOTAIR","HOTAIR-001",-1,"q13.13",2421
"HOTAIRM1","ENSG00000233429","ENST00000428939","7",0.5393,100506311,"HOTAIRM1","HOTAIRM1-003",1,"p15.2",889
"HOTTIP","ENSG00000243766","ENST00000521028","7",0.5468,100316868,"HOTTIP","HOTTIP-004",1,"p15.2",4511
"HOXA-AS3","ENSG00000254369","ENST00000518947","7",0.5122,100133311,"HOXA-AS3","HOXA-AS3-001",1,"p15.2",3987
"HOXA1","ENSG00000105991","ENST00000343060","7",0.468,3198,"HOXA1","HOXA1-001",-1,"p15.2",2517
"HOXA10","ENSG00000253293","ENST00000283921","7",0.5359,3206,"HOXA10","HOXA10-001",-1,"p15.2",2541
"HOXA11","ENSG00000005073","ENST00000006015","7",0.5522,3207,"HOXA11","HOXA11-001",-1,"p15.2",2295
"HOXA13","ENSG00000106031","ENST00000222753","7",0.4538,3209,"HOXA13","HOXA13-001",-1,"p15.2",4376
"HOXA2","ENSG00000105996","ENST00000222718","7",0.4797,3199,"HOXA2","HOXA2-001",-1,"p15.2",2066
"HOXA3","ENSG00000105997","ENST00000396352","7",0.5031,3200,"HOXA3","HOXA3-001",-1,"p15.2",3263
"HOXA4","ENSG00000197576","ENST00000360046","7",0.5704,3201,"HOXA4","HOXA4-001",-1,"p15.2",1747
"HOXA5","ENSG00000106004","ENST00000222726","7",0.5353,3202,"HOXA5","HOXA5-001",-1,"p15.2",1657
"HOXA6","ENSG00000106006","ENST00000222728","7",0.5382,3203,"HOXA6","HOXA6-001",-1,"p15.2",989
"HOXA7","ENSG00000122592","ENST00000242159","7",0.5662,3204,"HOXA7","HOXA7-001",-1,"p15.2",2020
"HOXA9","ENSG00000078399","ENST00000343483","7",0.5479,442920,"HOXA9","HOXA9-001",-1,"p15.2",2060
"HOXB-AS3","ENSG00000233101","ENST00000477144","17",0.5262,404266,"HOXB-AS3","HOXB-AS3-006",1,"q21.32",743
"HOXB1","ENSG00000120094","ENST00000239174","17",0.5841,3211,"HOXB1","HOXB1-001",-1,"q21.32",2020
"HOXB13","ENSG00000159184","ENST00000290295","17",0.5632,10481,"HOXB13","HOXB13-001",-1,"q21.32",3467
"HOXB2","ENSG00000173917","ENST00000330070","17",0.5461,3212,"HOXB2","HOXB2-001",-1,"q21.32",2652
"HOXB3","ENSG00000120093","ENST00000470495","17",0.5252,3213,"HOXB3","HOXB3-001",-1,"q21.32",4208
"HOXB4","ENSG00000182742","ENST00000332503","17",0.541,3214,"HOXB4","HOXB4-001",-1,"q21.32",3757
"HOXB5","ENSG00000120075","ENST00000239151","17",0.5427,3215,"HOXB5","HOXB5-001",-1,"q21.32",2041
"HOXB6","ENSG00000108511","ENST00000484302","17",0.545,3216,"HOXB6","HOXB6-001",-1,"q21.32",3434
"HOXB7","ENSG00000260027","ENST00000239165","17",0.5413,3217,"HOXB7","HOXB7-001",-1,"q21.32",1363
"HOXB8","ENSG00000120068","ENST00000239144","17",0.5805,3218,"HOXB8","HOXB8-001",-1,"q21.32",1823
"HOXB9","ENSG00000170689","ENST00000311177","17",0.5599,3219,"HOXB9","HOXB9-001",-1,"q21.32",2705
"HOXC10","ENSG00000180818","ENST00000303460","12",0.5292,3226,"HOXC10","HOXC10-001",1,"q13.13",1936
"HOXC11","ENSG00000123388","ENST00000546378","12",0.5598,3227,"HOXC11","HOXC11-001",1,"q13.13",3261
"HOXC12","ENSG00000123407","ENST00000243103","12",0.5794,3228,"HOXC12","HOXC12-001",1,"q13.13",3335
"HOXC13","ENSG00000123364","ENST00000243056","12",0.4909,3229,"HOXC13","HOXC13-001",1,"q13.13",2437
"HOXC4","ENSG00000198353","ENST00000609810","12",0.5168,3221,"HOXC4","HOXC4-201",1,"q13.13",1665
"HOXC5","ENSG00000172789","ENST00000312492","12",0.5882,3222,"HOXC5","HOXC5-001",1,"q13.13",1805
"HOXC6","ENSG00000197757","ENST00000394331","12",0.5361,3223,"HOXC6","HOXC6-002",1,"q13.13",2943
"HOXC8","ENSG00000037965","ENST00000040584","12",0.5166,3224,"HOXC8","HOXC8-001",1,"q13.13",3371
"HOXC9","ENSG00000180806","ENST00000303450","12",0.5689,3225,"HOXC9","HOXC9-001",1,"q13.13",1516
"HOXD-AS1","ENSG00000224189","ENST00000416928","2",0.4734,401022,"HOXD-AS1","HOXD-AS1-001",-1,"q31.1",4235
"HOXD-AS2","ENSG00000237380","ENST00000440016","2",0.519,100506783,"HOXD-AS2","HOXD-AS2-001",-1,"q31.1",999
"HOXD1","ENSG00000128645","ENST00000331462","2",0.56,3231,"HOXD1","HOXD1-001",1,"q31.1",2028
"HOXD10","ENSG00000128710","ENST00000249501","2",0.4931,3236,"HOXD10","HOXD10-001",1,"q31.1",1989
"HOXD11","ENSG00000128713","ENST00000249504","2",0.6088,3237,"HOXD11","HOXD11-001",1,"q31.1",1939
"HOXD12","ENSG00000170178","ENST00000406506","2",0.5971,3238,"HOXD12","HOXD12-001",1,"q31.1",1805
"HOXD13","ENSG00000128714","ENST00000392539","2",0.4849,3239,"HOXD13","HOXD13-001",1,"q31.1",2240
"HOXD3","ENSG00000128652","ENST00000468418","2",0.5111,401021,"HOXD3","HOXD3-005",1,"q31.1",4212
"HOXD4","ENSG00000170166","ENST00000306324","2",0.5955,3233,"HOXD4","HOXD4-001",1,"q31.1",1464
"HOXD8","ENSG00000175879","ENST00000313173","2",0.5217,3234,"HOXD8","HOXD8-001",1,"q31.1",2583
"HOXD9","ENSG00000128709","ENST00000249499","2",0.5998,3235,"HOXD9","HOXD9-001",1,"q31.1",2418
"HP","ENSG00000257017","ENST00000566821","16",0.4768,3240,"HP","HP-006",1,"q22.2",3024
"HP1BP3","ENSG00000127483","ENST00000375003","1",0.4117,50809,"HP1BP3","HP1BP3-004",-1,"p36.12",4822
"HPCA","ENSG00000121905","ENST00000373467","1",0.5712,3208,"HPCA","HPCA-001",1,"p35.1",1468
"HPCAL1","ENSG00000115756","ENST00000419810","2",0.5212,3241,"HPCAL1","HPCAL1-003",1,"p25.1",4781
"HPCAL4","ENSG00000116983","ENST00000372844","1",0.5284,51440,"HPCAL4","HPCAL4-001",-1,"p34.2",4856
"HPD","ENSG00000158104","ENST00000543163","12",0.514,3242,"HPD","HPD-001",-1,"q24.31",1709
"HPDL","ENSG00000186603","ENST00000334815","1",0.6106,84842,"HPDL","HPDL-001",1,"p34.1",1803
"HPGD","ENSG00000164120","ENST00000296522","4",0.3673,3248,"HPGD","HPGD-001",-1,"q34.1",3027
"HPGDS","ENSG00000163106","ENST00000295256","4",0.3855,27306,"HPGDS","HPGDS-001",-1,"q22.3",1636
"HPN","ENSG00000105707","ENST00000262626","19",0.5241,3249,"HPN","HPN-002",1,"q13.12",2363
"HPR","ENSG00000261701","ENST00000540303","16",0.4573,3250,"HPR","HPR-001",1,"q22.2",1244
"HPRT1","ENSG00000165704","ENST00000298556","X",0.4013,3251,"HPRT1","HPRT1-001",1,"q26.2",1407
"HPS1","ENSG00000107521","ENST00000325103","10",0.4971,3257,"HPS1","HPS1-009",-1,"q24.2",3703
"HPS3","ENSG00000163755","ENST00000296051","3",0.3869,84343,"HPS3","HPS3-001",1,"q24",4665
"HPS4","ENSG00000100099","ENST00000466781","22",0.4681,89781,"HPS4","HPS4-004",-1,"q12.1",6136
"HPS5","ENSG00000110756","ENST00000396253","11",0.3975,11234,"HPS5","HPS5-002",-1,"p15.1",4717
"HPS6","ENSG00000166189","ENST00000299238","10",0.6429,79803,"HPS6","HPS6-001",1,"q24.32",2646
"HPSE","ENSG00000173083","ENST00000405413","4",0.4122,10855,"HPSE","HPSE-001",-1,"q21.23",4652
